Date,At&t,Xom,BA,Wmt,Wix
7/13/2016,42.59,94.879997,130.110001,73.620003,31.48
7/14/2016,42.77,94.949997,131.550003,73.699997,31.07
7/15/2016,42.889999,95.120003,132.389999,73.669998,31.32
7/18/2016,42.849998,94.82,133.429993,73.839996,31.450001
7/19/2016,42.77,94.470001,134.660004,73.660004,31.18
7/20/2016,42.709999,93.93,134.720001,73.790001,31.77
7/21/2016,42.52,93.849998,133.529999,73.519997,30.91
7/22/2016,43.110001,94.010002,133.470001,73.550003,31.07
7/25/2016,42.939999,92.199997,132.940002,73.75,31.540001
7/26/2016,42.380001,91.529999,134.850006,73.730003,31.65
7/27/2016,42.759998,90.910004,135.960007,73.32,36.52
7/28/2016,42.580002,90.199997,133.009995,73.239998,35.91
7/29/2016,43.290001,88.949997,133.660004,72.970001,35.599998
8/1/2016,43.18,85.860001,133.210007,73.779999,35.98
8/2/2016,43.16,87.040001,131.600006,73.129997,35.869999
8/3/2016,43.139999,87.489998,131.869995,72.940002,35.27
8/4/2016,43.080002,87.480003,131.210007,73.300003,36
8/5/2016,43.16,87.559998,131.729996,73.760002,36.169998
8/8/2016,42.93,88.589996,132.190002,73.339996,36.990002
8/9/2016,43.080002,88.699997,132.619995,73.540001,38.110001
8/10/2016,43.200001,86.410004,132.279999,73.949997,38.380001
8/11/2016,43.389999,86.720001,133,73.800003,38.700001
8/12/2016,43.279999,87.849998,133.100006,73.889999,38.700001
8/15/2016,43.02,87.809998,134.660004,73.32,38.360001
8/16/2016,41.959999,87.919998,135,72.889999,38.130001
8/17/2016,41.860001,88.110001,134.720001,72.93,37.66
8/18/2016,41.400002,88.910004,135,74.300003,38.349998
8/19/2016,41.009998,87.800003,134.440002,72.809998,38.610001
8/22/2016,40.91,87.989998,134.990005,72.699997,38.439999
8/23/2016,40.849998,87.720001,134.139999,71.970001,39.630001
8/24/2016,40.869999,88.019997,133.289993,72.230003,40.119999
8/25/2016,41.07,87.459999,132.979996,71.220001,40.189999
8/26/2016,40.68,87.269997,132.229996,71.139999,40.34
8/29/2016,41,87.839996,132.899994,71.400002,40.310001
8/30/2016,40.889999,87.519997,130.809998,71.309998,41.799999
8/31/2016,40.880001,87.139999,129.449997,71.440002,41.82
