Date,Close
11/6/2013,16.309999
11/7/2013,16.559999
11/8/2013,17.299999
11/11/2013,17.940001
11/12/2013,17.549999
11/13/2013,17.27
11/14/2013,17.34
11/15/2013,17.66
11/18/2013,18.74
11/19/2013,18.110001
11/20/2013,18.41
11/21/2013,18.299999
11/22/2013,18.17
11/25/2013,18.299999
11/26/2013,18.209999
11/27/2013,19.530001
11/29/2013,20.5
12/2/2013,22.940001
12/3/2013,22.07
12/4/2013,21.030001
12/5/2013,21.93
12/6/2013,23.889999
12/9/2013,24.639999
12/10/2013,25.190001
12/11/2013,24.99
12/12/2013,23.959999
12/13/2013,24.23
12/16/2013,25.91
12/17/2013,27.620001
12/18/2013,27.92
12/19/2013,26.870001
12/20/2013,27.959999
12/23/2013,27.74
12/24/2013,27.82
12/26/2013,28.49
12/27/2013,28.16
12/30/2013,27.77
12/31/2013,26.85
1/2/2014,25.780001
1/3/2014,25.030001
1/6/2014,24.43
1/7/2014,24.049999
1/8/2014,24.299999
1/9/2014,26.059999
1/10/2014,26.450001
1/13/2014,26.889999
1/14/2014,27.389999
1/15/2014,27.43
1/16/2014,27.58
1/17/2014,28.450001
1/21/2014,28.85
1/22/2014,29.5
1/23/2014,30.07
1/24/2014,28.33
1/27/2014,27.09
1/28/2014,27.549999
1/29/2014,26.99
1/30/2014,27.91
1/31/2014,28.66
2/3/2014,27.01
2/4/2014,26.219999
2/5/2014,25.290001
2/6/2014,25.58
2/7/2014,28.139999
2/10/2014,28.51
2/11/2014,29.77
2/12/2014,29.809999
2/13/2014,29.450001
2/14/2014,29.040001
2/18/2014,28.280001
2/19/2014,27.940001
2/20/2014,28.98
2/21/2014,29.35
2/24/2014,29.120001
2/25/2014,31.23
2/26/2014,31.209999
2/27/2014,31.32
2/28/2014,30.9
3/3/2014,29.889999
3/4/2014,30.34
3/5/2014,29.219999
3/6/2014,29.65
3/7/2014,28.16
3/10/2014,26.870001
3/11/2014,26.549999
3/12/2014,27.35
3/13/2014,26.35
3/14/2014,26.4
3/17/2014,26.780001
3/18/2014,26.799999
3/19/2014,26.629999
3/20/2014,26.559999
3/21/2014,25.68
3/24/2014,23.209999
3/25/2014,23.5
3/26/2014,22.41
3/27/2014,20.200001
3/28/2014,21.02
3/31/2014,22.969999
4/1/2014,22.610001
4/2/2014,22.5
4/3/2014,22.790001
4/4/2014,21.440001
4/7/2014,21.01
4/8/2014,21.1
4/9/2014,22.75
4/10/2014,22.549999
4/11/2014,21.370001
4/14/2014,21
4/15/2014,21.209999
4/16/2014,21.25
4/17/2014,21.450001
4/21/2014,21.290001
4/22/2014,22
4/23/2014,21.82
4/24/2014,21.15
4/25/2014,20.52
4/28/2014,19.940001
4/29/2014,19.879999
4/30/2014,20.49
5/1/2014,20.24
5/2/2014,19.91
5/5/2014,19.84
5/6/2014,19.26
5/7/2014,18.440001
5/8/2014,17.24
5/9/2014,16.52
5/12/2014,17.43
5/13/2014,16.84
5/14/2014,16.219999
5/15/2014,14.76
5/16/2014,15.43
5/19/2014,15.95
5/20/2014,15.62
5/21/2014,15.57
5/22/2014,15.93
5/23/2014,15.43
5/27/2014,16.65
5/28/2014,17.84
5/29/2014,17.879999
5/30/2014,17.860001
6/2/2014,17.700001
6/3/2014,16.59
6/4/2014,16.549999
6/5/2014,16.700001
6/6/2014,17.01
6/9/2014,17.49
6/10/2014,18.030001
6/11/2014,17.83
6/12/2014,17.76
6/13/2014,17.93
6/16/2014,17.59
6/17/2014,17.629999
6/18/2014,17.76
6/19/2014,17.620001
6/20/2014,17.540001
6/23/2014,17.77
6/24/2014,20.040001
6/25/2014,20.059999
6/26/2014,20.049999
6/27/2014,19.99
6/30/2014,19.84
7/1/2014,20.23
7/2/2014,19.91
7/3/2014,20.09
7/7/2014,20
7/8/2014,19.309999
7/9/2014,19.93
7/10/2014,19.17
7/11/2014,19.1
7/14/2014,19.24
7/15/2014,18.33
7/16/2014,18.07
7/17/2014,17.92
7/18/2014,17.83
7/21/2014,17.360001
7/22/2014,17.92
7/23/2014,17.700001
7/24/2014,17.76
7/25/2014,17.629999
7/28/2014,17.190001
7/29/2014,17.75
7/30/2014,17.469999
7/31/2014,16.950001
8/1/2014,16.15
8/4/2014,16.33
8/5/2014,17.360001
8/6/2014,17.620001
8/7/2014,16.780001
8/8/2014,16.52
8/11/2014,16.5
